frame,ball_x,ball_y,ball_w,ball_h,ball_visible,lfoot_x,lfoot_y,lfoot_visible,rfoot_x,rfoot_y,rfoot_visible,lknee_x,lknee_y,rknee_x,rknee_y,head_x,head_y,ball_dy,ball_dy2,lfoot_dy,rfoot_dy,lknee_dy,rknee_dy,lfoot_rfoot_dy,lfoot_rfoot_dist,ball_lfoot_dist,ball_rfoot_dist
0,0.6417165398597717,0.7736524939537048,0.03273451328277588,0.05734086036682129,1,0.6890890002250671,0.8574758172035217,1,0.7194109559059143,0.8969506621360779,1,0.6964755654335022,0.780857264995575,0.7220289707183838,0.79369056224823,0.7059978246688843,0.5114203095436096,,,,,,,-0.03947484493255615,0.04977634356559965,0.0962834332671243,0.1457355844050445
1,0.6416815081261154,0.7736244685667798,0.03270769119262695,0.05732524394989014,1,0.6875227632603251,0.8526965970159474,1,0.7350027525335326,0.8959129584911174,1,0.6960534011959133,0.7804158651515057,0.7225448926140492,0.7962141209527065,0.7060277608776451,0.5088982794966017,-2.8025386925034645e-05,,-0.004779220187574373,-0.0010377036449604748,-0.0004413998440692124,0.002523558704476514,-0.04321636147517005,0.06420282922532669,0.0913992460021491,0.153828896588787
2,0.6415563682443441,0.7734890485960525,0.032704174518585205,0.057387709617614746,1,0.6705268883074921,0.8242508605861727,1,0.7181274496820523,0.8947166888306869,1,0.6929551903983227,0.7678660836873815,0.7228484417058966,0.7969201987773176,0.7042778191151948,0.5086071780216441,-0.00013541997072730183,-0.00010739458380226719,-0.02844573642977466,-0.0011962696604305156,-0.012549781464124221,0.0007060778246110733,-0.0704658282445142,0.08503673555210509,0.05844700667484664,0.14338504548731046
3,0.6414169323951618,0.7732788936807818,0.032553672790527344,0.05733335018157959,1,0.6787056924664544,0.8249308488384836,1,0.7176067581031866,0.8960531024342729,1,0.6902766574703345,0.7654879143950079,0.7232018884075202,0.8029198549092194,0.7028206559926146,0.5095044467909859,-0.000210154915270655,-7.473494454335317e-05,0.0006799882523108591,0.0013364136035860508,-0.0023781692923736664,0.005999656131901787,-0.07112225359578939,0.08106582426779566,0.06370538516693586,0.14449358420519925
4,0.6413654154851308,0.773303835607368,0.03247350454330444,0.05727881193161011,1,0.6806566724872507,0.826468149399387,1,0.713121222623061,0.8977135266903775,1,0.6880273060790433,0.7604075920014189,0.7221656829336114,0.8020031061147846,0.7016449133092897,0.5099427801890057,2.4941926586197205e-05,0.0002350968418568522,0.0015373005609033985,0.0016604242561045757,-0.00508032239358891,-0.0009167487944347075,-0.07124537729099056,0.07829336370891299,0.06610784475221444,0.1436198701203482
5,0.641508896793265,0.7741437275806862,0.03284388780593872,0.058371782302856445,1,0.6737837256263555,0.8274927615561867,1,0.713813812180651,0.8894389000933464,1,0.6808003823680681,0.7567120432222264,0.7146742895618151,0.7904985618241311,0.6936625647568421,0.5060135542416712,0.0008398919733181298,0.0008149500467319326,0.0010246121567997202,-0.008274626597031154,-0.0036955487791925368,-0.011504544290653507,-0.06194613853715969,0.07375453822789058,0.06235209701625438,0.13609179840791705
6,0.6414856277235529,0.7735625162497441,0.03262162208557129,0.0574796199798584,1,0.6698170232294838,0.8315316524746323,1,0.7066908653098113,0.8776175523976475,1,0.6802503735149044,0.7600882045201742,0.7079844230894852,0.7734776778453869,0.6862554370177301,0.5015325997246997,-0.0005812113309420219,-0.0014211033042601517,0.00403889091844567,-0.01182134769569887,0.0033761612979478217,-0.01702088397874424,-0.04608589992301515,0.05902194847240389,0.06452200187512107,0.12279728643753443
7,0.6414777878935226,0.7731393365915973,0.03254157304763794,0.05714696645736694,1,0.667494886352355,0.8364729927389646,1,0.7038193164128256,0.875392940914516,1,0.6821974341632124,0.7654049998995415,0.7064087068880252,0.7687817382186436,0.6866538851704779,0.49974966052511294,-0.0004231796581468661,0.00015803167279515584,0.004941340264332239,-0.0022246114831314667,0.005316795379367245,-0.004695939626743306,-0.038919948175551444,0.0532374547213297,0.0684692734970186,0.11975919912537447
8,0.6413976796797837,0.7729405536792976,0.032429039478302,0.05712854862213135,1,0.6672510008842725,0.839381168298513,1,0.7069201267628445,0.8680800722544701,1,0.6843745446135013,0.7689052274717605,0.7023147489287452,0.7580141066759493,0.6855595177653028,0.4995664389706877,-0.0001987829122996887,0.0002243967458471774,0.002908175559548365,-0.007312868660045879,0.003500227572219017,-0.010767631542694334,-0.0286989039559572,0.048961889631051345,0.07129340424107664,0.11551934498805001
9,0.6412337580559287,0.7725591985026239,0.032208383083343506,0.056992948055267334,1,0.6705021147259937,0.8392101859769069,1,0.6994430228013085,0.8388220527072239,1,0.6868625016795394,0.7669465223004455,0.6939619401006137,0.7421684026966284,0.683063153655793,0.500331665535304,-0.00038135517667370333,-0.00018257226437401464,-0.0001709823216060613,-0.029258019547246272,-0.0019587051713150228,-0.015845703979320835,0.0003881332696830109,0.028943510631208095,0.07279416757861283,0.08819911762335148
