frame,foot
17,Right_Foot
27,Left_Foot
41,Right_Foot
52,Right_Foot
66,Right_Foot
80,Left_Foot
92,Right_Foot
106,Right_Foot
120,Left_Foot
131,Right_Foot
142,Right_Foot
157,Left_Foot
170,Right_Foot
182,Right_Foot
195,Left_Foot
210,Right_Foot
225,Left_Foot
239,Right_Foot
254,Right_Foot
267,Left_Foot
281,Right_Foot
295,Left_Foot
308,Right_Foot
321,Right_Foot
332,Left_Foot
347,Right_Foot
360,Left_Foot
376,Right_Foot
388,Left_Foot
404,Right_Foot
418,Left_Foot
431,Right_Foot
446,Left_Foot
460,Right_Foot
473,Left_Foot
488,Right_Foot
501,Right_Foot
516,Left_Foot
530,Right_Foot
541,Right_Foot
552,Left_Foot
566,Right_Foot
576,Left_Foot
588,Right_Foot
601,Right_Foot
617,Left_Foot
628,Right_Foot
647,Left_Foot
656,Right_Foot
669,Right_Foot
682,Left_Foot
698,Right_Foot
711,Right_Foot
724,Left_Foot
738,Right_Foot
748,Right_Foot
762,Right_Foot
776,Left_Foot
791,Right_Foot
802,Right_Foot
813,Right_Foot
826,Left_Foot
839,Right_Foot
851,Right_Foot
865,Left_Foot
878,Right_Foot
888,Right_Foot
902,Right_Foot
917,Left_Foot
929,Right_Foot
940,Right_Foot
952,Right_Foot
965,Left_Foot
978,Right_Foot
988,Right_Foot
1003,Left_Foot
1014,Right_Foot
1024,Right_Foot
1037,Right_Foot
1051,Left_Foot
1063,Right_Foot
1074,Right_Foot
1085,Right_Foot
1100,Left_Foot
1112,Right_Foot
1124,Right_Foot
1134,Right_Foot
1149,Left_Foot
1162,Right_Foot
1173,Right_Foot
1187,Left_Foot
1204,Right_Foot
1216,Right_Foot
1229,Right_Foot
1243,Left_Foot
1254,Right_Foot
1264,Right_Foot
1278,Left_Foot
1293,Right_Foot
1305,Right_Foot
1318,Left_Foot
1330,Right_Foot
1341,Right_Foot
1356,Left_Foot
1367,Right_Foot
1378,Right_Foot
1388,Right_Foot
1403,Left_Foot
1412,Right_Foot
1424,Right_Foot
1440,Left_Foot
1452,Right_Foot
1464,Left_Foot
1481,Right_Foot
1494,Left_Foot
1505,Right_Foot
1520,Left_Foot
1534,Right_Foot
1545,Right_Foot
