frame,foot
17,Juggle
27,Juggle
41,Juggle
54,Juggle
65,Juggle
80,Juggle
92,Juggle
106,Juggle
118,Juggle
132,Juggle
142,Juggle
157,Juggle
170,Juggle
182,Juggle
195,Juggle
211,Juggle
225,Juggle
239,Juggle
253,Juggle
266,Juggle
280,Juggle
295,Juggle
306,Juggle
320,Juggle
332,Juggle
347,Juggle
360,Juggle
376,Juggle
389,Juggle
404,Juggle
416,Juggle
433,Juggle
446,Juggle
461,Juggle
474,Juggle
487,Juggle
501,Juggle
515,Juggle
529,Juggle
540,Juggle
553,Juggle
565,Juggle
576,Juggle
588,Juggle
600,Juggle
617,Juggle
628,Juggle
645,Juggle
657,Juggle
669,Juggle
682,Juggle
698,Juggle
711,Juggle
724,Juggle
738,Juggle
749,Juggle
761,Juggle
775,Juggle
790,Juggle
801,Juggle
813,Juggle
827,Juggle
839,Juggle
850,Juggle
864,Juggle
878,Juggle
887,Juggle
902,Juggle
916,Juggle
930,Juggle
940,Juggle
950,Juggle
965,Juggle
978,Juggle
989,Juggle
1003,Juggle
1014,Juggle
1025,Juggle
1037,Juggle
1051,Juggle
1063,Juggle
1074,Juggle
1084,Juggle
1100,Juggle
1114,Juggle
1125,Juggle
1135,Juggle
1149,Juggle
1163,Juggle
1174,Juggle
1187,Juggle
1201,Juggle
1217,Juggle
1228,Juggle
1242,Juggle
1255,Juggle
1264,Juggle
1279,Juggle
1280,Juggle
1293,Juggle
1304,Juggle
1317,Juggle
1329,Juggle
1340,Juggle
1356,Juggle
1367,Juggle
1378,Juggle
1388,Juggle
1401,Juggle
1413,Juggle
1425,Juggle
1438,Juggle
1451,Juggle
1464,Juggle
1482,Juggle
1491,Juggle
1505,Juggle
1519,Juggle
1534,Juggle
1546,Juggle
1559,Juggle
1576,Juggle
1586,Juggle
1598,Juggle
1609,Juggle
1621,Juggle
1634,Juggle
1644,Juggle
1659,Juggle
1671,Juggle
1682,Juggle
1696,Juggle
1709,Juggle
1721,Juggle
1731,Juggle
1744,Juggle
1764,Juggle
1775,Juggle
1791,Juggle
1803,Juggle
1818,Juggle
1830,Juggle
1842,Juggle
1856,Juggle
1867,Juggle
1878,Juggle
1891,Juggle
1903,Juggle
1915,Juggle
1927,Juggle
1940,Juggle
1952,Juggle
1966,Juggle
1976,Juggle
1989,Juggle
2002,Juggle
2014,Juggle
2028,Juggle
2041,Juggle
2051,Juggle
2064,Juggle
