frame,foot
37,Right_Foot
41,Left_Foot
61,Right_Foot
69,Right_Foot
78,Right_Foot
93,Left_Foot
107,Right_Foot
120,Right_Foot
133,Left_Foot
146,Right_Foot
182,Left_Foot
182,Right_Foot
199,Right_Foot
206,Right_Foot
220,Left_Foot
233,Right_Foot
244,Right_Foot
259,Left_Foot
272,Right_Foot
284,Right_Foot
300,Left_Foot
311,Right_Foot
320,Right_Foot
335,Left_Foot
349,Right_Foot
359,Right_Foot
373,Left_Foot
387,Right_Foot
400,Right_Foot
412,Left_Foot
428,Right_Foot
438,Right_Foot
453,Left_Foot
467,Right_Foot
476,Right_Foot
490,Right_Foot
502,Left_Foot
515,Right_Foot
527,Right_Foot
538,Right_Foot
552,Left_Foot
566,Right_Foot
577,Right_Foot
588,Right_Foot
605,Left_Foot
618,Right_Foot
627,Right_Foot
642,Left_Foot
653,Right_Foot
665,Right_Foot
683,Left_Foot
697,Right_Foot
707,Right_Foot
722,Left_Foot
732,Right_Foot
742,Right_Foot
755,Left_Foot
769,Right_Foot
781,Right_Foot
796,Left_Foot
810,Right_Foot
819,Right_Foot
834,Left_Foot
849,Right_Foot
859,Right_Foot
872,Left_Foot
887,Right_Foot
898,Right_Foot
912,Left_Foot
927,Right_Foot
937,Right_Foot
951,Left_Foot
963,Right_Foot
974,Right_Foot
989,Left_Foot
1002,Right_Foot
1012,Right_Foot
1028,Left_Foot
1042,Right_Foot
1050,Right_Foot
1061,Right_Foot
1077,Left_Foot
1089,Right_Foot
1090,Left_Foot
1102,Right_Foot
1116,Left_Foot
1128,Right_Foot
1139,Right_Foot
1169,Right_Foot
1181,Right_Foot
1195,Left_Foot
1207,Right_Foot
1219,Right_Foot
1232,Left_Foot
1246,Right_Foot
1257,Right_Foot
1271,Left_Foot
1284,Right_Foot
1294,Right_Foot
1312,Left_Foot
1324,Right_Foot
1340,Left_Foot
1353,Right_Foot
1362,Right_Foot
1378,Left_Foot
1391,Right_Foot
1404,Right_Foot
1417,Right_Foot
1430,Left_Foot
1444,Right_Foot
1455,Right_Foot
1467,Right_Foot
1481,Left_Foot
1495,Right_Foot
1508,Right_Foot
1522,Right_Foot
1533,Left_Foot
1546,Right_Foot
1558,Right_Foot
1571,Left_Foot
1584,Right_Foot
1594,Right_Foot
1610,Left_Foot
1623,Right_Foot
1632,Right_Foot
1647,Right_Foot
1658,Right_Foot
1672,Left_Foot
1684,Right_Foot
1696,Right_Foot
1711,Right_Foot
1726,Left_Foot
1739,Right_Foot
1751,Right_Foot
1764,Left_Foot
