frame,foot
15,Right_Foot
22,Right_Foot
36,Left_Foot
51,Right_Foot
63,Right_Foot
76,Left_Foot
90,Right_Foot
106,Left_Foot
121,Right_Foot
136,Left_Foot
149,Right_Foot
164,Right_Foot
179,Left_Foot
193,Right_Foot
207,Left_Foot
224,Right_Foot
236,Right_Foot
253,Left_Foot
267,Right_Foot
283,Left_Foot
298,Right_Foot
312,Right_Foot
330,Left_Foot
343,Right_Foot
355,Right_Foot
370,Left_Foot
386,Left_Foot
402,Right_Foot
413,Right_Foot
430,Left_Foot
445,Right_Foot
458,Right_Foot
474,Left_Foot
487,Right_Foot
497,Right_Foot
512,Left_Foot
527,Right_Foot
539,Right_Foot
555,Left_Foot
572,Right_Foot
582,Right_Foot
597,Left_Foot
611,Right_Foot
624,Right_Foot
640,Left_Foot
659,Right_Foot
671,Right_Foot
687,Left_Foot
700,Right_Foot
713,Right_Foot
730,Right_Foot
743,Left_Foot
757,Right_Foot
768,Right_Foot
784,Left_Foot
798,Right_Foot
810,Right_Foot
823,Left_Foot
838,Right_Foot
851,Right_Foot
865,Left_Foot
880,Right_Foot
895,Right_Foot
913,Right_Foot
931,Left_Foot
941,Right_Foot
952,Right_Foot
962,Right_Foot
977,Left_Foot
991,Right_Foot
1003,Right_Foot
1019,Left_Foot
1034,Right_Foot
1046,Right_Foot
1059,Left_Foot
1076,Right_Foot
1090,Right_Foot
1101,Right_Foot
1119,Left_Foot
1131,Right_Foot
1141,Right_Foot
1155,Right_Foot
1166,Right_Foot
1182,Left_Foot
1195,Right_Foot
1206,Right_Foot
1219,Left_Foot
1233,Right_Foot
1242,Right_Foot
1258,Right_Foot
1272,Left_Foot
1286,Right_Foot
1308,Right_Foot
1318,Right_Foot
1337,Left_Foot
1348,Right_Foot
1361,Right_Foot
1377,Left_Foot
1391,Right_Foot
1399,Right_Foot
1418,Left_Foot
1437,Right_Foot
1446,Right_Foot
1460,Right_Foot
1474,Left_Foot
1486,Right_Foot
1498,Right_Foot
1512,Right_Foot
1527,Left_Foot
1543,Right_Foot
1554,Right_Foot
1570,Left_Foot
1583,Right_Foot
1597,Right_Foot
1606,Right_Foot
1623,Left_Foot
1635,Right_Foot
1649,Right_Foot
1660,Left_Foot
1677,Right_Foot
1687,Right_Foot
1703,Left_Foot
1713,Right_Foot
1727,Right_Foot
1741,Left_Foot
1754,Right_Foot
1767,Right_Foot
1780,Right_Foot
1793,Left_Foot
1807,Right_Foot
1817,Right_Foot
1831,Right_Foot
1845,Left_Foot
1861,Right_Foot
1873,Right_Foot
1884,Left_Foot
1898,Right_Foot
1912,Right_Foot
